HITId	WorkerId	src	trg	item	hit work-seconds	accept	submit	approval
375VSR8FVW54YD8KC44DAO3NTINZR3	F0003	en	es	ad	7	4316	"Wed Nov 23 07:27:15 2016"	"Wed Nov 23 08:39:11 2016"	Rejected
375VSR8FVW54YD8KC44DAO3NTINZR3	F0025	en	es	ad	7	517	"Wed Nov 23 08:08:24 2016"	"Wed Nov 23 08:17:01 2016"	Rejected
375VSR8FVW54YD8KC44DAO3NTINZR3	F0037	en	es	ad	7	1926	"Wed Nov 23 07:24:38 2016"	"Wed Nov 23 07:56:44 2016"	Approved
3APP19WN71ABLDFVUODQEMWLM5G6GO	F0032	en	es	ad	8	1039	"Wed Nov 23 11:17:27 2016"	"Wed Nov 23 11:34:46 2016"	Submitted
3APP19WN71ABLDFVUODQEMWLM5G6GO	F0003	en	es	ad	8	3764	"Wed Nov 23 07:27:09 2016"	"Wed Nov 23 08:29:53 2016"	Rejected
3APP19WN71ABLDFVUODQEMWLM5G6GO	F0021	en	es	ad	8	1561	"Wed Nov 23 08:39:32 2016"	"Wed Nov 23 09:05:33 2016"	Submitted
3APP19WN71ABLDFVUODQEMWLM5G6GO	F0030	en	es	ad	8	1381	"Wed Nov 23 06:50:10 2016"	"Wed Nov 23 07:13:11 2016"	Rejected
3APP19WN71ABLDFVUODQEMWLM5G6GO	F0036	en	es	ad	8	2240	"Wed Nov 23 07:46:09 2016"	"Wed Nov 23 08:23:29 2016"	Rejected
3APP19WN71ABLDFVUODQEMWLM5G6GO	F0040	en	es	ad	8	3188	"Wed Nov 23 09:24:08 2016"	"Wed Nov 23 10:17:16 2016"	Submitted
3APP19WN71ABLDFVUODQEMWLM5G6GO	F0039	en	es	ad	8	1406	"Wed Nov 23 10:54:33 2016"	"Wed Nov 23 11:17:59 2016"	Submitted
3DFYDSXB2WW6EQVXYCWWR52HHJEUJH	F0031	en	es	ad	9	1813	"Wed Nov 23 08:01:33 2016"	"Wed Nov 23 08:31:46 2016"	Approved
3DFYDSXB2WW6EQVXYCWWR52HHJEUJH	F0040	en	es	ad	9	4802	"Wed Nov 23 09:28:24 2016"	"Wed Nov 23 10:48:26 2016"	Submitted
3DFYDSXB2WW6EQVXYCWWR52HHJEUJH	F0039	en	es	ad	9	2407	"Wed Nov 23 09:16:29 2016"	"Wed Nov 23 09:56:36 2016"	Submitted
3DFYDSXB2WW6EQVXYCWWR52HHJEUJH	F0009	en	es	ad	9	4557	"Wed Nov 23 08:25:00 2016"	"Wed Nov 23 09:40:57 2016"	Submitted
3DFYDSXB2WW6EQVXYCWWR52HHJEUJH	F0003	en	es	ad	9	2881	"Wed Nov 23 07:26:52 2016"	"Wed Nov 23 08:14:53 2016"	Rejected
3DFYDSXB2WW6EQVXYCWWR52HHJEUJH	F0025	en	es	ad	9	478	"Wed Nov 23 08:23:56 2016"	"Wed Nov 23 08:31:54 2016"	Rejected
3RKHNXPHGWS1PA1FGXW8SK2UW8EUKG	F0022	en	es	ad	10	3917	"Wed Nov 23 05:24:38 2016"	"Wed Nov 23 06:29:55 2016"	Approved
3RKHNXPHGWS1PA1FGXW8SK2UW8EUKG	F0015	en	es	ad	10	2123	"Wed Nov 23 06:32:58 2016"	"Wed Nov 23 07:08:21 2016"	Approved
3RKHNXPHGWS1PA1FGXW8SK2UW8EUKG	F0032	en	es	ad	10	1955	"Wed Nov 23 10:44:22 2016"	"Wed Nov 23 11:16:57 2016"	Submitted
