rep_id,a_type,wid,hit,src,trg,item,sys,sid,rep_type,score_a,time_a,score_b,time_b
0,intra,F0032,3JGHED38EDNUB4E0744OR03LMAHY70,en,es,ad,all,161,sys_sys,100,1302,2,1302
0,intra,F0001,3Z3R5YC0P3JB9BUCFHF17BON5YSFTA,en,es,ad,all,446,sys_sys,99,911,99,911
0,intra,F0027,3D5G8J4N5A0058G2FWK5PXR9TQ6VT0,en,es,ad,all,276,sys_sys,32,2060,69,2060
0,intra,F0031,3TD33TP5DLYGHYJN4F2OTG7A2BFAB2,en,es,ad,all,109,sys_sys,8,4790,8,4790
0,intra,F0034,3QTFNPMJC6EJJFGSJXNW14YDTP5NZJ,en,es,ad,all,322,sys_sys,100,2297,100,2297
0,intra,F0001,3KG2UQJ0MJKA5NF1W14JABM9NG5QN0,en,es,ad,all,471,sys_sys,79,2394,81,2394
0,intra,F0021,3TZDZ3Y0JS21ZHRQACVZR9JHAFX19I,en,es,ad,all,8,sys_sys,79,4993,63,4993
0,intra,F0020,37M4O367VJEFUJB3081GZL2IMU8M5J,en,es,ad,all,11,sys_sys,94,1212,100,1212
0,intra,F0031,3YGYP136415AHOU19GTJF1WEJ4HRNG,en,es,ad,all,841,sys_sys,10,3546,5,3546
0,intra,F0022,3HA5ODM5KAOZQ83NQWFFFSVNR7SVSB,en,es,ad,all,332,sys_sys,90,1158,90,1158
0,intra,F0044,3DZKABX2ZI1JJRERTAPF0NR5682CV3,en,es,ad,all,1047,sys_sys,35,3844,64,3844
0,intra,F0001,3L2OEKSTW96YBIJJH9WU50ZGXUNY8N,en,es,ad,all,607,sys_sys,88,1505,100,1505
0,intra,F0037,33IXYHIZB5EPJY031RBZO6UXUMM2EE,en,es,ad,all,665,sys_sys,59,509,49,509
0,intra,F0045,31MBOZ6PAONGNM2XF6N9DET3FCJLCG,en,es,ad,all,211,sys_sys,74,2673,90,2673
0,intra,F0005,35O6H0UNLSCPTB5IXBOOJTA1J495J3,en,es,ad,all,70,sys_sys,1,1386,92,1386
0,intra,F0030,37M4O367VJEFUJB3081GZL2IMU8M5J,en,es,ad,all,876,sys_sys,74,1211,83,1211
0,intra,F0017,3MDKGGG61QJFQI11EOCXD5BACXFT67,en,es,ad,all,185,sys_sys,66,1913,93,1913
0,intra,F0010,3KG2UQJ0MJKA5NF1W14JABM9NG5QN0,en,es,ad,all,351,sys_sys,85,1523,99,1523
0,intra,F0014,3ABAOCJ4R804N5U1K0PJXWX9IQVQM0,en,es,ad,all,620,sys_sys,65,1717,89,1717
0,intra,F0014,3ABAOCJ4R804N5U1K0PJXWX9IQVQM0,en,es,ad,all,604,sys_sys,73,1717,68,1717
0,intra,F0018,3B286OTISEDMZHHZS7F5R4QNAEEJAI,en,es,ad,all,457,sys_sys,62,1955,41,1955
0,intra,F0001,3Z3R5YC0P3JB9BUCFHF17BON5YSFTA,en,es,ad,all,161,sys_sys,55,911,72,911
0,intra,F0032,3JGHED38EDNUB4E0744OR03LMAHY70,en,es,ad,all,446,sys_sys,100,1302,100,1302
0,intra,F0023,3B9XR6P1WERRIRMRYLF1MFATSWZJBD,en,es,ad,all,597,sys_sys,99,2840,96,2840
0,intra,F0031,35YHTYFL1GZQM3Y1KCFG8TC83NDVFK,en,es,ad,all,634,sys_sys,12,3176,11,3176
0,intra,F0022,3TZDZ3Y0JS21ZHRQACVZR9JHAFX19I,en,es,ad,all,327,sys_sys,83,1305,57,1305
0,intra,F0022,3HA5ODM5KAOZQ83NQWFFFSVNR7SVSB,en,es,ad,all,344,sys_sys,82,1158,68,1158
0,intra,F0001,3O4VWC1GEW2MFWIEJS0V4WCH44N3J7,en,es,ad,all,17,sys_sys,76,811,73,811
0,intra,F0003,3VGET1QSZ0VQMZJ0S3M063I5C6D7WF,en,es,ad,all,858,sys_sys,94,2067,39,2067
0,intra,F0024,3ZZAYRN1I6N5FO75EKYRU5X1XZJOT5,en,es,ad,all,74,sys_sys,38,2118,18,2118
0,intra,F0027,3D5G8J4N5A0058G2FWK5PXR9TQ6VT0,en,es,ad,all,886,sys_sys,18,2060,33,2060
0,intra,F0014,3KG2UQJ0MJKA5NF1W14JABM9NG5QN0,en,es,ad,all,657,sys_sys,84,3632,80,3632
0,intra,F0031,35YHTYFL1GZQM3Y1KCFG8TC83NDVFK,en,es,ad,all,987,sys_sys,76,3176,52,3176
0,intra,F0022,3D5G8J4N5A0058G2FWK5PXR9TQ6VT0,en,es,ad,all,563,sys_sys,69,1234,28,1234
0,intra,F0006,3CVDZS288HW7WG4S6KEPLXTVCSIFM0,en,es,ad,all,866,sys_sys,97,1014,65,1014
0,intra,F0040,3MDKGGG61QJFQI11EOCXD5BACXFT67,en,es,ad,all,659,sys_sys,88,756,91,756
0,intra,F0006,3CVDZS288HW7WG4S6KEPLXTVCSIFM0,en,es,ad,all,980,sys_sys,15,1014,41,1014
0,intra,F0037,33IXYHIZB5EPJY031RBZO6UXUMM2EE,en,es,ad,all,521,sys_sys,62,509,70,509
0,intra,F0003,3VGET1QSZ0VQMZJ0S3M063I5C6D7WF,en,es,ad,all,620,sys_sys,97,2067,98,2067
