HITId	WorkerId	src	trg	item	hit work-seconds	accept	submit	approval
337F8MIIMZ90VM0WXYV8WWPRKZ804M	F0037	en	es	ad	4	869	"Thu Nov 24 08:07:15 2016"	"Thu Nov 24 08:21:44 2016"	Submitted
3VGET1QSZ0VQMZJ0S3M063I5C6D7WF	F0003	en	es	ad	5	2067	"Thu Nov 24 08:17:43 2016"	"Thu Nov 24 08:52:10 2016"	Submitted
30P8I9JKOIHYK65CE027MHLVERFV5D	F0025	en	es	ad	6	2484	"Thu Nov 24 07:56:53 2016"	"Thu Nov 24 08:38:17 2016"	Submitted
32FESTC2NHMJ6CPROKFA41PMS1TCUE	F0024	en	es	ad	7	1380	"Thu Nov 24 08:30:11 2016"	"Thu Nov 24 08:53:11 2016"	Submitted
3XBXDSS888F4QKDS62JWRREDGSNXL6	F0037	en	es	ad	8	319	"Thu Nov 24 08:40:26 2016"	"Thu Nov 24 08:45:45 2016"	Submitted
3M67TQBQQHKXT54Q6VOS2ACKFDYA9J	F0025	en	es	ad	9	1067	"Thu Nov 24 07:39:01 2016"	"Thu Nov 24 07:56:48 2016"	Submitted
3QQUBC64ZEAUEKGDIFZB4JI2LNNXN8	F0025	en	es	ad	11	1194	"Thu Nov 24 08:38:21 2016"	"Thu Nov 24 08:58:15 2016"	Submitted
33IXYHIZB5EPJY031RBZO6UXUMM2EE	F0037	en	es	ad	12	509	"Thu Nov 24 08:31:57 2016"	"Thu Nov 24 08:40:26 2016"	Submitted
3LEG2HW4UFJHPC0ZW2V56OFX6N12FW	F0038	en	es	ad	13	870	"Thu Nov 24 08:55:09 2016"	"Thu Nov 24 09:09:39 2016"	Submitted
3DZKABX2ZI1JJRERTAPF0NR5682CV3	F0044	en	es	ad	14	3844	"Thu Nov 24 08:03:59 2016"	"Thu Nov 24 09:08:03 2016"	Submitted
31YWE12TE085BZOQ28IM8MWCL8J7X8	F0037	en	es	ad	15	612	"Thu Nov 24 08:21:44 2016"	"Thu Nov 24 08:31:56 2016"	Submitted
31MBOZ6PAONGNM2XF6N9DET3FCJLCG	F0045	en	es	ad	0	2673	"Fri Nov 25 04:32:21 2016"	"Fri Nov 25 05:16:54 2016"	Submitted
31KPKEKW4A9KGLL5CD5V4AVXUT90BG	F0031	en	es	ad	1	5174	"Fri Nov 25 04:52:00 2016"	"Fri Nov 25 06:18:14 2016"	Submitted
3LAZVA75NINBVPDSV5EVTIOBYQC2O6	F0035	en	es	ad	2	1539	"Fri Nov 25 02:48:59 2016"	"Fri Nov 25 03:14:38 2016"	Submitted
3NSCTNUR2ZJESI2E35BBQU7ITJZ5AB	F0042	en	es	ad	3	1465	"Fri Nov 25 03:44:40 2016"	"Fri Nov 25 04:09:05 2016"	Submitted
389A2A304OE3QQDBQD1QFU1FCE90CN	F0031	en	es	ad	4	995	"Fri Nov 25 04:35:23 2016"	"Fri Nov 25 04:51:58 2016"	Submitted
3P888QFVX3QSN8FDXG4WP0MEEWPQO7	F0031	en	es	ad	5	4911	"Fri Nov 25 05:40:16 2016"	"Fri Nov 25 07:02:07 2016"	Submitted
3P888QFVX3QSN8FDXG4WP0MEEWPQO7	F0026	en	es	ad	5	198	"Fri Nov 25 04:44:48 2016"	"Fri Nov 25 04:48:06 2016"	Rejected
35YHTYFL1GZQM3Y1KCFG8TC83NDVFK	F0031	en	es	ad	6	3176	"Fri Nov 25 04:35:57 2016"	"Fri Nov 25 05:28:53 2016"	Submitted
3HEM8MA6H98A88RECGHBE0R4O1LQPO	F0035	en	es	ad	7	3578	"Fri Nov 25 02:49:11 2016"	"Fri Nov 25 03:48:49 2016"	Submitted
3NSM4HLQNRQV8KSTCTW0E5HETX7QQF	F0029	en	es	ad	8	2531	"Fri Nov 25 02:46:57 2016"	"Fri Nov 25 03:29:08 2016"	Submitted
3Q7TKIAPOT6QSE8BF2IKXKBL0CVLDG	F0024	en	es	ad	9	2738	"Fri Nov 25 04:59:46 2016"	"Fri Nov 25 05:45:24 2016"	Submitted
3DGDV62G7O5TGPPTA5RAIIT18V82PN	F0027	en	es	ad	10	1190	"Fri Nov 25 02:35:55 2016"	"Fri Nov 25 02:55:45 2016"	Submitted
388FBO7JZRPJEP6NNBLDNXPBNV1NYS	F0031	en	es	ad	11	4593	"Fri Nov 25 04:45:29 2016"	"Fri Nov 25 06:02:02 2016"	Submitted
31SIZS5W59BVKL7TP8L0JVRJPJ9QRG	F0007	en	es	ad	12	2035	"Fri Nov 25 04:30:26 2016"	"Fri Nov 25 05:04:21 2016"	Submitted
3QTFNPMJC6EJJFGSJXNW14YDTP5NZJ	F0026	en	es	ad	13	195	"Fri Nov 25 04:48:09 2016"	"Fri Nov 25 04:51:24 2016"	Rejected
3QTFNPMJC6EJJFGSJXNW14YDTP5NZJ	F0034	en	es	ad	13	2297	"Fri Nov 25 05:55:13 2016"	"Fri Nov 25 06:33:30 2016"	Submitted
3BPP3MA3TCGVKKMBBXT432T60OWLE9	F0031	en	es	ad	14	4223	"Fri Nov 25 05:33:55 2016"	"Fri Nov 25 06:44:18 2016"	Submitted
3BPP3MA3TCGVKKMBBXT432T60OWLE9	F0026	en	es	ad	14	268	"Fri Nov 25 04:40:16 2016"	"Fri Nov 25 04:44:44 2016"	Rejected
37AQKJ12TXKLSGCDA1KQOF3OXB5TTA	F0031	en	es	ad	15	4529	"Fri Nov 25 06:02:04 2016"	"Fri Nov 25 07:17:33 2016"	Submitted
